basic_moving_percentage,basic_km,basic_trips,basic_avg_speed,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,can_fuel_consumed,vehcile_model
0.59,423.08,10,39,39722,23270.69038,,3.51742E+14
0,0,0,0,1250,0,,3.51742E+14
0.68,127.05,7,23.29,15168,10251.10461,,Volvo FH12 2007
0.79,394.59,15,16.47,26897,21179.26487,,Volvo FH12 2008
0,12.61,5,10,8317,0,,3.59633E+14
0.51,254.32,16,13.31,28421,14394.70165,,3.59633E+14
1.88,226.61,8,27.38,8243,15489.88649,,3.54017E+14
0.17,35.22,3,241,2727,470.3666939,,Reefer Truck 502
0.31,326.95,6,244.83,10847,3408.645152,,8.6354E+14
0.12,2.52,2,28,959,119.1999046,,addtional
0.75,520.83,9,27.56,36565,27581.65598,,Volvo FH12 2010
0.47,444.75,13,53.38,39812,18658.57009,,8.62476E+14
0.08,34.75,7,16.43,11645,933.8242529,,8.62476E+14
0,0,0,0,3649,0,,8.62476E+14
0.86,376.1,8,41.25,25783,22134.04002,,8.62476E+14
7.19,337.59,3,40.67,2590,18619.83569,,2011 Volvo fh
0.4,253.52,15,19.33,32632,13103.12503,,2010 Volvo fh12
0.79,122.78,12,20.67,10578,8383.31715,,2006 Volvofh12 
0.55,252.34,17,23.29,25123,13710.30748,,2010 Volvo fh
0.62,134.95,10,12.7,15686,9679.374865,,2010 Volvo fh
0.62,124.82,8,22.62,14270,8916.880046,,2012 Volvo fh
0.15,70.22,14,5.86,53693,7998.355506,,2011 Volvo fh
0,0,0,0,0,0,,2011 VOLVO FH
0.55,422.48,17,17.18,42118,23312.13565,,2011 VOLVO FH
0,0.26,1,4,1075,0,,2011 VOLVO FH
0,2.57,2,9.5,7917,0,,2011 VOLVO FH
0.98,658.21,12,49,31683,31058.07843,,2011/ Volvo FH
0.38,67.65,13,12.62,17153,6434.313905,,2011 Volvo fh
2.68,466.63,9,27.11,10321,27707.94377,,2011/ Volvo FH
0.87,426.36,4,37.5,26170,22781.60552,,2010 volvo fh
1.08,657.65,10,43.5,28342,30550.2371,,2011/ Volvo FH
0.39,253.47,11,16.64,39754,15440.59664,,Mercedes actros 2007
0,0,0,0,5790,0,,2016 MAN
0,0,0,0,1803,0,,2016 MAN
0,1.46,6,1.17,7470,0,,2014 MAN
0,2.2,2,5,11172,0,,2014 MAN
7.69,337.34,2,47.5,2476,19043.85427,,2016 MAN
0.86,377.02,9,35.56,25711,22015.72462,,2011 Volvo fh
0.36,252.78,22,9,38554,14013.41634,,2005 Volvo fh12
0,0,0,0,0,0,,2004 Volvo fh12
0,0,0,0,0,0,,2009 Volvo fh
0.8,425.98,4,38.25,29002,23105.64101,,2006 Volvo fh12
0.69,569.17,11,27.55,45191,31131.28717,,2008 M Actros
1.04,739.7,9,40.11,35159,36522.878,,2010 Volvo fh
0.45,228.26,20,15.35,42821,19466.22332,,2001 Volvo fh12
0.87,612.71,11,33.18,43958,38098.64679,,2006 Volvo fh12
0.83,659.92,11,42.73,39316,32468.87187,,2011 Volvo fh
0,0.06,1,1,7896,0,,2015 VOLVO FH
0.72,196.5,17,20.06,24033,17192.54469,,2003 Volvo FH
