basic_moving_percentage,basic_km,basic_trips,basic_avg_speed,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,can_fuel_consumed,vehcile_model
0.78,474.81,16,39.06,37349,29000.43806,,Volvo FH12 2006
0.66,259.87,12,19.92,19698,13051.66739,,Volvo FH12 2012
0,0,0,0,0,0,,Volvo FH12 2000
0.48,299.64,17,25.88,42329,20359.27206,,Volvo FH 2000
0.02,10.02,6,11.67,32839,649.3328139,,Volvo fh12
0.88,439.14,9,35.67,25138,22030.8326,,Volvo Fh12 2011
0,0.46,2,6.5,1393,0,,Volvo FH12 2007
0.74,453.2,9,34.67,32882,24427.98934,,"Volvo fh13, 2010"
0.82,584.99,15,32.13,36771,30073.76677,,"Volvo Fh13, 2010"
0.76,611.9,8,30.5,41237,31212.91047,," vfh12, 2015"
0.84,506.94,10,36.6,29840,25176.7004,,"Vfh12, 2015"
0.49,388.52,16,27.44,37473,18459.05114,,"VFh12, 2015"
0.61,472.7,13,41.69,38440,23282.71801,,"Vfh12, 2015"
0.53,473.9,16,36.81,44878,23806.42107,,"Vfh12, 2015"
0.81,448.14,9,33.56,30377,24524.73457,,"volvo fh12, 2015"
0,2.72,8,20.5,31537,2.012596815,,"Vfh 12, 2015"
0.68,442.42,13,25.69,38343,26195.43777,,"Volvo fh12, 2005"
0,0.06,2,54.5,9911,0.9999992,,"Volvo fh12, 2005"
0,9.64,1,20,6741,0,,2006 volvo fh12
0.7,473.9,11,33.73,37579,26420.1866,,2006 Volvo fh12 
0,0,0,0,0,0,,"VOLVO FH12, 2002"
0,0,0,0,0,0,,"Volvo fh12, 2003"
0.84,669.44,8,49.62,43239,36188.69774,,"volvo fh12, 2006"
0.6,248.03,8,32.5,22958,13811.3983,,Volvo FH12 2012
0.34,310.65,11,26,47027,15754.7708,, Volvo Fh 2008 
0.65,682.61,15,35.2,54854,35385.1216,,Volvo FH 2007
0,0,0,0,0,0,,Volvo FH 2008
0.98,414.74,4,64.5,23165,22650.53763,,Volvo FH 2007
0.52,473.48,13,38.85,44521,23151.86321,,VOLVO FH 2008
0,3.81,5,7.2,5396,0,,Volvo FH 2006
1.24,383.58,8,44.5,17682,21876.25736,,Volvo FH 2010
0.42,202.72,11,27.73,25816,10853.02399,,Volvo FH 2008
0.72,436,10,33.8,32055,23231.78844,,Volvo FH 2007
0,0,0,0,0,0,,VOLVO FH 2009
0,4.52,8,6,9709,0,,VOLVO FH 2009
0,0,0,0,176,0,,8.62476E+14
0.15,11.41,5,19.4,6912,1041.178654,,8.62476E+14
0.61,509.91,8,32.75,47717,29309.58524,,8.62476E+14
0.7,609.14,6,47.67,42974,30128.87856,,Volvo FH 2008
0,0,0,0,17042,0,,Volvo FH 2008
0,0,0,0,1098,0,,Volvo FH12 2008
0.81,277.8,7,46.57,17452,14133.52361,,Volvo FH12 2007
0.71,249.77,9,38.22,21403,15194.5785,,Volvo FH12 2007
0.71,415.44,12,33.83,33908,24035.74116,,"Volvo fh12, 2006"
2.98,91.69,3,53,1835,5474.995802,,"Volvo fh, 2006"
0.91,440.4,8,36.25,25651,23322.78481,,"Volvo fh, 2008"
0,1.11,3,7,2441,0,,38287 dxb
0,0.75,1,7,3572,0,,Volvo FH480 2008
0,0.37,1,3,7111,0,,Volvo FH12 2007
0.87,691.14,13,26.85,39333,34136.36852,,Volvo FH12 2007
0,3.75,7,3.71,25880,0,,Volvo FH12 2011
0,0,0,0,188,0,,Volvo FH12 2006
0,5.88,6,6.33,2759,0,,2011 Volvo fh
0.77,436.35,10,28,32088,24729.46187,,2007 VOLVO FH 
0.9,557.62,13,35.23,33007,29865.57811,,3.50424E+14
0.27,59.91,8,8.25,18257,5007.595994,,3.50424E+14
0.63,453.49,14,24.57,39484,24686.51985,,3.57073E+14
0.77,438.21,7,42.29,31766,24491.09963,,3.50424E+14
0.93,385.91,4,53.75,25112,23338.03843,,3.50424E+14
0.44,537.27,17,35.18,59253,26102.61481,,Volvo FH12 2007
0,0,0,0,0,0,,2007 Volvo fh12
0.07,10.87,3,27.67,10162,666.5528451,,2013 volvo fh
0,0,0,0,445,0,,2010 Volvo fh
1.35,427.44,10,26,16006,21535.53943,,2013 Volvo fh12
0.36,113.53,7,37.86,20543,7336.308702,,3.51742E+14
0,1.32,1,18,1232,0,,3.51742E+14
0,402.63,5,41,0,21814.62915,,3.51742E+14
0.39,23.65,3,24.33,5990,2343.816307,,3.51742E+14
0.81,689.42,11,31.82,42349,34333.16621,,3.51742E+14
0.66,497.49,15,27.53,38950,25698.98269,,3.51742E+14
1.34,435.13,6,51.17,16980,22824.36233,,3.51742E+14
0.32,104.07,8,29.88,21254,6823.984869,,3.51742E+14
0.6,77.83,2,43,8915,5354.689727,,3.51742E+14
0.33,211.66,8,26,36248,11896.04191,,Volvo FH12 2007
0.57,374.08,6,43.17,36153,20592.91864,,Volvo FH12 2008
0.58,706.36,20,24.45,62705,36151.04728,,3.59633E+14
0.92,556.28,10,36,29870,27377.52839,,3.59633E+14
1.01,456.5,14,23.64,23271,23590.1716,,3.54017E+14
0.15,15.52,3,71.67,1666,257.4600811,,Reefer Truck 502
0.16,30.18,3,63,3572,573.4852555,,8.6354E+14
0.99,481.2,10,41.3,25763,25513.09176,,addtional
0.29,18.55,5,8.8,7057,2052.370772,,Volvo FH12 2010
0.48,366.8,8,41.88,38274,18370.33541,,8.62476E+14
0.63,415.03,12,28.83,38088,24182.55203,,8.62476E+14
0.72,643.7,13,29.92,42015,30202.85894,,8.62476E+14
0.78,551.03,10,37.3,37105,29075.04262,,8.62476E+14
0.81,648.37,12,32,39879,32425.9042,,2011 Volvo fh
0.83,766.53,9,58,49941,41380.32771,,2010 Volvo fh12
0.74,628.39,16,31.06,45663,33876.56262,,2006 Volvofh12 
0.54,379.55,20,22.75,32883,17729.83223,,2010 Volvo fh
0.66,468.58,10,33.3,36888,24199.73314,,2010 Volvo fh
0,0.35,1,10,6007,0,,2012 Volvo fh
0,0.28,1,1,2035,0,,2011 Volvo fh
0.43,241.97,8,22.62,23277,9939.453587,,2011 VOLVO FH
1.05,409.89,11,16.82,19168,20192.44746,,2011 VOLVO FH
0.72,608.68,6,43.5,44677,32334.15747,,2011 VOLVO FH
0.75,608.08,10,25.6,42933,32227.25798,,2011 VOLVO FH
0.78,585.14,15,26.93,39258,30720.8193,,2011/ Volvo FH
0,1.71,3,3,15419,0,,2011 Volvo fh
0.67,620,11,34.55,46723,31286.6637,,2011/ Volvo FH
0.41,260.15,15,14.07,33721,13657.35921,,2010 volvo fh
0.75,690.13,13,30.38,45277,34067.85273,,2011/ Volvo FH
0.64,441.46,11,22.36,34931,22522.75771,,2011 Renault premium
0.44,453.83,15,21.8,54310,23978.21853,,Mercedes actros 2007
0,0,0,0,0,0,,2016 MAN
0.95,765.91,10,52.5,45266,43202.08387,,2016 MAN
0.69,452.56,11,27.55,36304,24904.88854,,2014 MAN
0,0.71,1,5,7589,0,,2014 MAN
0,0.61,1,4,41161,0,,2016 MAN
0.3,19.22,9,8.11,5069,1518.388785,,2011 Volvo fh
0.76,613.19,8,37.38,43141,32945.57642,,2005 Volvo fh12
0.65,508.91,11,33,40055,26194.48005,,2009 Volvo fh
0,0.68,3,5.33,7516,0,,2006 Volvo fh12
0.86,868.66,8,53.5,51755,44639.34414,,2008 M Actros
0.52,153.47,7,21,16087,8299.895633,,2010 Volvo fh
0.48,197.41,15,17.27,37101,17944.35635,,2001 Volvo fh12
0.69,460.85,14,28.86,37704,26073.95168,,2006 Volvo fh12
1.33,864.29,13,35.08,36854,49065.74629,,2011 Volvo fh
0,2.51,1,7,1407,0,,2015 VOLVO FH
0.56,267.22,16,23.25,34177,19297.69586,,2003 Volvo FH
0.25,131.89,35,13.06,35968,8906.254911,,2003 Volvo fh12
0.58,179.68,9,24.89,29435,16932.30662,,2004 Volvo fh12
0,6.15,3,10.33,8795,0,,2012 Volvo fh
0.73,453.07,9,17.67,35157,25497.81505,,2008 Volvo fh12
0.43,75.27,9,16.78,14970,6469.742095,,2015 Volvo fh
0,0.68,1,6,1017,0,,015 Volvo fh
0.69,591.93,12,26.67,43759,30016.06072,,2015 Volvo fh
1.04,749.33,9,40.89,43490,45214.14696,,2015 Volvo fh
0.27,19.05,7,7.71,6508,1743.530034,,2015 Volvo fh
0.79,512.29,10,39,34711,27392.6697,,2015 Volvo fh
0.75,524.48,11,22.09,42537,31729.33514,,2013 Volvo fh
0.72,454.31,14,22.93,34661,24807.38563,,VOLVO FH 2007
0,7.77,8,3.38,8263,0,,2014 Volvo fh
0.84,771.4,11,46.45,50580,42497.51179,,2014 Volvo fh
0.81,771.15,13,24.38,49558,39950.30539,,2014 Volvo fh
0.56,277.37,14,26.43,24852,13838.90661,,2015 Volvo fh
0,0,0,0,8,0,,2015 Volvo fh
0,0,0,0,88,0,,2015 Volvo fh
0,0,0,0,183,0,,2015 Volvo fh
0,0,0,0,588,0,,2015 Volvo fh
0.7,449.31,13,34.77,36835,25872.65927,104.1,2013 / Volvo fh
0.66,656.72,14,24.36,68399,45002.064,203.4,2014 Volvo fh
0.76,439.38,6,25.83,32159,24361.35019,144.31,2012 Volvo fh
0.65,526.71,12,30.75,52844,34305.5482,125.4,2014 Volvo fh
0.61,338.5,9,22.78,38079,23157.595,,2014 Volvo fh
0.78,449.48,10,31.2,40858,31809.21853,171.8,2012 Volvo fh
1.02,494.6,12,30.33,28023,28447.45916,189.38,2014 Volvo fh
0.6,339.5,12,22.42,35228,21171.49703,159,2004 Volvo fh12
0.35,267.13,16,17.12,55271,19402.29794,,2008 Volvo fh12
0.53,248.53,6,22.83,36591,19231.4241,133.9,2008/Volvo FH
0.25,59.73,10,17.4,14650,3710.617214,15.6,2014 Volvo fh
0.43,206.76,14,15.57,33750,14452.22609,105,2008 Volvo fh12
0.44,238.53,10,30.3,38521,17131.77026,124.41,2014/Volvo FH
0.66,359.34,10,26.3,34300,22585.79389,143.38,2013/ Volvo FH
0.45,308.03,12,24.5,43429,19618.77421,117.28,2008 Volvo fh12
0.66,491.69,6,37.67,47079,31281.72387,141.72,2014 Volvo fh
0.76,299.65,8,35.5,30306,23172.73636,75.1,2014 Volvo fh
0.63,290.99,7,31.43,37019,23347.58113,70.38,2014/Volvo FH
0.42,373.67,11,22.55,46016,19260.89823,118.4,2014 Volvo fh
0.69,441.87,8,41.62,40364,27839.33053,190.2,2014/ Volvo FH
0.51,354.65,10,51.9,34987,17919.3339,127.3,2004 Volvo fh12
0.46,238.82,11,26.27,39407,18283.00688,124,2008/ Volvo FH
0.35,172.01,10,19.5,30412,10734.77103,60.28,2014 Volvo fh
0.65,497.24,14,30.64,42950,27932.18333,155.6,2014 Volvo fh
0.35,238.23,6,24.5,49323,17262.42389,138.22,2014/ Volvo FH
0.61,304.61,2,106.5,22199,13496.87334,74.8,2012 Volvo fh
0.51,248.09,7,26.29,38063,19229.91703,132,2008 Volvo fh
0.6,147.79,13,18.77,17232,10402.91168,44,2008  Volvo fh
0.72,399.11,13,30.46,31974,22942.59125,58.8,2014 Volvo fh
0.55,359.76,15,26.6,44539,24329.74151,133,2012 Volvo fh
0.66,373.67,12,28.67,39618,26115.64388,89.7,2014 Volvo fh
0.58,459.68,15,14.13,48454,28235.71659,203,2012 volvo fh
0.6,301.79,8,25.12,33928,20383.26103,113.59,2010 Volvo fh
0.58,398.49,11,33.09,42587,24588.80471,152.91,2008 Volvo fh12
0.52,371.01,8,26.25,44479,23179.61255,201.59,2007 Volvo fh12
0.35,220.9,13,17.62,42954,15071.0578,55.38,2014 Volvo fh
0.79,501.38,6,23.5,39716,31403.56161,92.19,2014 Volvo fh
0.43,67.65,6,13,15686,6718.418801,31.68,2014 Volvo fh
0.73,329.21,9,27.33,30845,22501.05185,94.6,2014 Volvo fh
0.63,427.76,9,33.11,44910,28156.35582,114.19,2014 Volvo fh
0.69,287.34,5,39,30354,20915.97186,89.4,2012 Volvo fh
0.61,391.88,7,26.71,38558,23415.31245,6.59,2014 Volvo fh
0.77,403.42,13,20.15,38544,29804.3421,178.91,2013 Volvo fh
0.38,284,12,23.33,38295,14729.37902,139.6,2012 Volvo fh
0.9,392.74,6,32.17,25595,23154.56392,175.5,2011 Volvo fh
0.84,272.47,26,34.92,26271,22149.64321,15.8,"Toyota Avanza, 2020"
0,0,0,0,0,0,0,"Ford transit, 2020"
0,0,0,0,0,0,0,Renault Symbol 2020
0.62,221.29,13,39.38,22977,14175.5512,17.2,Toyota Avanza 2020
0,0,0,0,0,0,0,Toyota Rush 2022
0,16.38,4,14.25,3405,0,2.1,Renault Symbol
0,0,0,0,0,0,0,Toyota Hiace
0.14,67.32,8,21.88,13376,1814.991824,0,Ford Transit 2020
0.42,74.37,18,31.89,13769,5847.539009,0,Unicorn Honda
0.96,12.22,2,18,1750,1673.998661,1.1,TOYOTA RUSH 2022
0.75,238.28,16,38.38,26971,20191.33813,22.8,Toyota rush 2022
0.66,282.95,23,31.22,33221,21767.13447,26.9,Toyota rush 2022
0.33,30.77,3,23.67,5303,1760.150316,0,Toyota Avanza 2020
0.26,123.78,8,44.88,23393,6103.852618,,Volvo fh
0.42,121.16,9,32.33,14291,6067.302872,,Volvo fh
0,0,0,0,2514,0,,2011 Volvo fh
1.25,368.85,6,41.83,16958,21255.12123,,Volvo fh 2011
0,0.29,1,3,1372,0,,2012 volvo fh
0.45,82.9,13,19.54,15441,7007.077414,,2012 volvo fh
0.71,639.95,13,33,45707,32314.82662,,2014 Volvo fh
1.04,625.84,11,36.18,33050,34527.36539,,Volvo FH 12 2008
1.34,616.24,6,35.67,24653,32972.21174,,2014 Volvo FH
0.69,251.63,9,18.22,19114,13109.44666,,2013 volvo fh12
0.6,252.24,12,18.5,22766,13754.71728,,2013 Volvo fh
0.62,121.97,7,18.71,13182,8110.308896,,2013 Volvo fh
0,0,0,0,0,0,,2013 Volvo fh
0.28,146.29,20,18.35,36137,10292.73124,,2004 Volvo fh12
0.61,244.85,7,25.14,23190,14047.41527,,2011 Volvo fh
0,0,0,0,0,0,,2008 Volvo fh12
1.36,368.99,5,47.6,15722,21338.64911,,2013 Volvo fh
0,0.73,2,3,3986,0,,2013 Volvo fh
0.78,639.09,14,33.14,42667,33489.20399,,2013 Volvo fh
0.23,91.67,20,13,34338,7767.286533,,Volvo FH 2012
0.76,243.64,4,33.5,17724,13458.43791,,2011 Volvo fh
0.68,122.19,7,20,11467,7786.748397,,Volvo fh12 2007
0.6,76.91,8,23.38,11192,6686.448423,,2006 volvo fh
0.29,124.82,14,16,27001,7726.702077,,2011 Volvo fh
0.88,504.45,6,31.33,34070,29935.44544,,2012 Volvo fh
0,2.6,2,8,2132,0,,2005 Volvo fh12
0.66,252.2,9,18.33,20388,13402.92642,,8.62476E+14
0.48,120,7,26.71,13668,6599.752781,,2012 volvo FH
0.99,812.64,6,46,42437,41982.3351,,2012 / Volvo fh
0.88,505.21,6,62.83,30192,26552.73287,,2012 Volvo fh
0.79,279.74,6,23.17,20442,16109.63046,,2012 Volvo Fh
0.95,463.72,10,30.5,28566,27000.36005,,2011 Volvo fh
0.5,119.92,7,18.57,16269,8116.489778,,2012 Volvo fh
0.89,455.81,9,31,29296,25969.69815,,2014 Volbo fh
0.8,438.9,8,28.75,29792,23931.91686,,2011 Volvo fh
1.04,420.89,5,40.6,25598,26641.14682,,2012 Volbo fh
0.31,118.84,13,15.77,16622,5196.906187,,2004 Volvo fh12
0.71,252.05,8,24.12,20949,14774.66392,,2013  volvo fh12
0.88,121.02,2,35.5,8038,7056.053372,,2012 Volvo fh12
0.85,519.1,7,24.71,38358,32498.64914,,2012 Volvo fh12
0.61,520.04,6,44.83,44068,26800.26402,,2014 Volvo fh
0.76,138.44,8,22.5,15167,11566.64462,,2012 Volvo fh
0.45,79.5,12,15.17,14267,6484.511955,,2012 Volvo fh
0.69,40.44,2,31.5,6442,4442.796446,,2014 Volvo fh
0.57,211.52,18,23.78,37883,21645.23833,,2003 Volvo fh
0.42,200.55,16,22.19,46849,19674.95621,,2007 Volvo fh12
0.47,67.59,7,22.29,13212,6274.957329,,2012 Volvo fh12
0.86,418.57,7,33,26800,23080.00154,,2014 Volvo fh12
0.54,230.69,24,17.79,37482,20218.26157,,2013 Volvo Fh
0.51,239.24,16,30,42519,21724.04966,,Volvo fh
0.71,53.72,5,16.8,7939,5630.820196,,2011 Volvo fh
0.91,760.66,7,50.71,46205,42010.31616,,2011 Volvo fh
0,0,0,0,425,0,,2012 Volvo fh12
0.83,505.33,6,53.83,32101,26758.42114,,2011 Volvo fh
0.66,255.14,8,10.38,21187,13922.68425,,2013 Volvo fh
0,9.91,7,5,9854,0,,2004 Volvo fh12
1.01,158.54,5,26.8,9877,9958.942405,,2011 Volvo fh
0,19.07,9,11,13495,0,,2004 / Volvo fh12
0.91,544.99,6,58.33,33316,30170.20303,,2007 / Volvo fh 12
0,0,0,0,0,0,,2004 Volvo fh12
0.07,17.11,7,9.86,14024,1051.272628,,2012 Volvo fh
0.31,96.42,10,16.9,21570,6734.744918,,2004 Volvo fh12
0.68,387.52,11,25.18,29548,20188.91892,,2007 Volvo fh12
0.84,419.11,5,28,27937,23515.76959,,2006 Volvo fh12
0.67,411.08,13,28.62,34702,23213.72872,,2007 Volvo fh12
0.43,426.39,16,11.88,51420,21927.18302,,2011 Volvo fh
0.54,101.57,5,14.8,10754,5765.976032,,2008 Volvo fh12
0.35,19.63,2,21.5,4747,1675.666952,,2012 Volvo fh
0.35,388.39,24,17.88,57020,19956.0311,,2012 Volvo fh
0.84,499.55,8,21.12,36880,31129.99176,,2007 Volvo fh12
0.65,255.25,8,21.12,21636,14143.52887,,2009 Volvo fh
0.55,101.38,10,12.1,11219,6180.409601,,2008 Volvo fh12
0.84,310.02,7,32.43,19103,15952.14346,,2005 Volvo fh12
0.32,253.1,13,8.92,37375,12104.74853,,2006 Volvo fh 440
0.95,400.57,8,47.62,27057,25654.68691,,2005 Volvo fh12
0.52,114.38,8,22.12,20160,10413.19608,,2008 Volvo fh12
0,0,0,0,2062,0,,2009 Volvo fh12
0.59,257.84,6,17,21481,12739.88277,,2014 Volvo fh
0.94,572.87,5,54.6,34097,32210.52678,,2012 volvo fh12
0.62,244.4,9,14.67,22088,13601.21612,,2012 Volvo fh
0.4,426.83,12,18.33,51597,20564.56968,,2013 Volvo fh
0.59,101.3,9,15.89,9157,5360.451962,,2006 Volvo fh12
0,1.64,3,7.33,3104,0,,2005 Volvo fh12
0.75,402.69,11,34.82,31499,23526.72588,,2005 Volvo fh12
0.71,410.99,12,31.17,31299,22355.14217,,2012 Volvo fh
0,22.38,17,8.41,19204,0,,2005 Volvo fh
0.68,387.58,14,22.71,29385,19975.10994,,2009Volvo fh
0.69,464.26,9,35.33,39875,27492.46305,,2008 Volvo fh12
0.98,21.2,2,34.5,2290,2240.232054,,Honda unicorn
0,13.5,4,21,2207,0,,H unicorn
0.48,73.65,35,24.94,9056,4349.275723,,H unicorn
0.91,118.77,22,38,11620,10534.44241,,H unicorn
0.89,132.5,21,42.14,10464,9318.614833,,H unicorn
0.61,129.42,24,37.04,19973,12217.36209,,H unicorn
0,0,0,0,0,0,,H unicorn
0.83,75.86,24,33.46,7827,6465.767297,,H unicorn
0.35,59.89,16,24.19,9764,3416.175085,,H unicorn
0.44,27.5,11,20.91,4733,2102.751114,,H unicorn
0,0,0,0,0,0,,H unicorn
1,32.62,2,51,2350,2340.412861,,H unicorn
0,0,0,0,0,0,,H unicorn
0,0,0,0,0,0,,H unicorn
0.88,134.43,14,37.71,10961,9616.461101,,H unicorn
0.38,79.25,24,25.38,11263,4263.635824,,H unicorn
0.76,55.12,7,49.43,5857,4428.912197,,H unicorn
0.53,56.52,9,32.44,8905,4761.268821,,H unicorn
0.1,79.85,13,25.23,37245,3611.600628,,H unicorn
0.91,179.79,24,34.46,17482,15906.63157,,Honda unicorn
0,0,0,0,0,0,,H unicorn
0.64,86.5,15,31.27,9834,6327.120825,,Honda Unicorn
0,0,0,0,0,0,,Honda Unicorn
0.64,157.16,13,19.85,19117,12191.86969,,Volvo FH12 2012
0.2,89.92,22,17.32,24861,4977.891089,,Volvo FH12 2003
0.47,151.45,13,28.46,26348,12290.35091,,Volvo FH12 2004
1.63,865.87,9,43,27033,44090.72323,,Volvo FH12 2012
0,0,0,0,0,0,,Volvo FH12 2012
0.15,91.73,20,13.2,35388,5159.214404,,Volvo FH12 2004
0,0,0,0,2045,0,,Volvo FH12 2004
0.1,13.13,1,26,17331,1817.998546,,Volvo FH12 2006
0.48,444.84,14,24.64,47414,22976.67139,,Volvo FH12 2012
0.62,453.81,15,20.13,40513,24979.30807,,Mercedes Actros 2005
0,0,0,0,0,0,,Mercedes Actros 2004
0.6,106.51,6,34.33,15088,9100.55852,,9281
0,0,0,0,0,0,,Volvo FH12 2004
0.52,129.4,7,32.86,19425,10073.28202,,Volvo FH  2004
0.61,247.57,18,31.78,32596,19767.26673,,Volvo FH12 2004
0.87,638.2,8,41.62,38450,33640.78379,,Volvo FH12 2004
0.6,703.07,16,41.81,58652,34959.88349,,Volvo FH12 2012
0,0,0,0,0,0,,Mercedes Actros 2003
0.28,285.5,11,29.82,55538,15275.00692,,Volvo FH12 2011
0.74,442.19,7,29.29,29939,22210.39714,,Volvo FH12 2012
0.5,333.37,14,33.36,38805,19251.43376,,Volvo FH12 2000
0,0,0,0,3328,0,,Volvo FH12 2007
0,7.99,9,8.44,18849,0,,Volvo FH12 2006
0.23,51.11,6,17.17,10575,2468.815416,,Volvo FH12 2012
0,0,0,0,51,0,,Volvo FH12 2000
0.17,83.26,17,16.18,36833,6416.704544,,Volvo FH 2000
0.72,452.74,12,24.67,33462,23939.37195,,Volvo fh12
0.69,376.7,10,31.2,29891,20652.84363,,Volvo Fh12 2011
0,0.7,3,10.67,4033,0,,Volvo FH12 2007
0.66,634.42,21,31.48,52637,34663.83044,,"Volvo fh13, 2010"
0.7,452.36,16,36.69,36609,25702.56715,,"Volvo Fh13, 2010"
0.57,547.1,16,23.88,45539,25733.61054,," vfh12, 2015"
0.61,455.7,12,28.75,40765,25021.60855,,"Vfh12, 2015"
0.62,432.76,8,43.25,35540,22083.01421,,"VFh12, 2015"
0.78,372.28,14,22.36,29729,23159.39882,,"Vfh12, 2015"
0.59,339.24,9,27.89,33818,19807.04209,,"Vfh12, 2015"
0.61,516.71,17,29.12,45156,27762.5617,,"volvo fh12, 2015"
0.54,366.23,7,26.14,30252,16402.68475,,"Vfh 12, 2015"
1.09,200.68,9,15.78,8775,9544.157,,"Volvo fh12, 2005"
0,0.05,1,2,8898,0,,"Volvo fh12, 2005"
0,0,0,0,1164,0,,2006 volvo fh12
0.94,425.47,5,48,26998,25279.65552,,2006 Volvo fh12 
0,0,0,0,0,0,,"VOLVO FH12, 2002"
0,0,0,0,0,0,,"Volvo fh12, 2003"
0.51,290.51,13,25.62,32595,16709.09159,,"volvo fh12, 2006"
0.24,208.29,13,27.92,44683,10940.38097,,Volvo FH12 2012
0.57,366.7,9,34.67,33866,19147.83548,, Volvo Fh 2008 
0.91,289.54,8,39.75,17377,15834.81479,,Volvo FH 2007
0,0.26,1,0,0,0,,Volvo FH 2008
0.11,7.89,6,12.17,8154,915.5465203,,Volvo FH 2007
0.86,415.89,4,57,27648,23797.3558,,VOLVO FH 2008
0.63,427.27,13,24.31,35878,22663.80072,,Volvo FH 2006
0.3,205.97,17,18.82,33768,10107.24173,,Volvo FH 2010
0.62,251.87,18,21.22,21749,13590.35971,,Volvo FH 2008
0.77,447.25,13,34.92,30817,23834.6341,,Volvo FH 2007
0,0,0,0,0,0,,VOLVO FH 2009
0.52,64.21,3,33.33,7458,3885.375353,,VOLVO FH 2009
0,0,0,0,1317,0,,8.62476E+14
1.49,554.77,5,53.2,16364,24423.37053,,8.62476E+14
1.01,872.05,12,44.25,42540,43007.12506,,8.62476E+14
0.49,546.21,24,21.96,50003,24657.04964,,Volvo FH 2008
0,0,0,0,4263,0,,Volvo FH 2008
0,0,0,0,14259,0,,Volvo FH12 2008
0.33,206.13,15,22.13,31130,10326.09535,,Volvo FH12 2007
0.39,201.51,14,24.93,26258,10322.52052,,Volvo FH12 2007
0.71,649.46,19,37.79,43683,30873.89198,,"Volvo fh12, 2006"
0,0,0,0,1671,0,,"Volvo fh, 2006"
0.77,438,10,32.7,31095,23788.68595,,"Volvo fh, 2008"
0,3.93,7,7.29,13244,0,,38287 dxb
0.65,448.26,19,25.95,36779,23774.5796,,Volvo FH480 2008
0,0.45,1,4,1287,0,,Volvo FH12 2007
0.7,292.93,9,30.78,26884,18832.45911,,Volvo FH12 2007
0.64,428.01,11,27.64,36261,23109.94133,,Volvo FH12 2011
0,0,0,0,892,0,,Volvo FH12 2006
0.85,560.96,5,57,30070,25632.2891,,2011 Volvo fh
0.79,571.87,14,33.5,36569,28963.98731,,2007 VOLVO FH 
0.75,458.56,13,32.15,35152,26198.75277,,3.50424E+14
1.7,419.77,22,19.68,13253,22538.12825,,3.50424E+14
0.61,367.84,9,19.22,27743,16900.39868,,3.57073E+14
0.71,377.3,13,22.38,29313,20772.82674,,3.50424E+14
0,0,0,0,224,0,,3.50424E+14
0.89,426.65,5,62.6,24044,21432.677,,Volvo FH12 2007
0,0,0,0,0,0,,2007 Volvo fh12
0.75,452.59,8,39.25,32077,23993.13421,,2013 volvo fh
0.26,11.73,2,20,4519,1189.089958,,2010 Volvo fh
0.97,546.75,3,74.67,26973,26085.6504,,2013 Volvo fh12
0.33,72.04,10,26.2,16673,5499.453836,,3.51742E+14
0.63,459.3,12,26.42,40300,25373.30886,,3.51742E+14
0,75.31,12,19.75,0,4792.024843,,3.51742E+14
0.65,199.24,10,36.9,20534,13415.51868,,3.51742E+14
0.78,380.37,7,50.57,29607,23199.51794,,3.51742E+14
0.69,283.77,6,42.5,25105,17325.45878,,3.51742E+14
0.46,12.68,1,26,3847,1756.106287,,3.51742E+14
0.61,372.81,7,38.86,30070,18484.95005,,3.51742E+14
0.7,623.27,13,31.92,40984,28777.81436,,3.51742E+14
0.6,365.33,7,40.57,33832,20360.64966,,Volvo FH12 2007
0.91,632.72,12,27.25,36656,33356.88866,,Volvo FH12 2008
0.28,83.37,6,27.5,13383,3720.397421,,3.59633E+14
0.55,451.94,11,32.73,44339,24582.3567,,3.59633E+14
1.1,418.97,10,23.4,19290,21235.6818,,3.54017E+14
1,15.35,1,118,467,468.2436932,,Reefer Truck 502
0.45,44.91,4,71.5,5289,2405.66313,,8.6354E+14
0.77,236.33,5,30.2,15100,11673.69966,,addtional
1.18,546.55,6,39.33,24295,28712.64731,,Volvo FH12 2010
0.51,396.09,11,40.09,38263,19595.26402,,8.62476E+14
0.71,649.24,13,34.23,45466,32277.15373,,8.62476E+14
0.75,325.64,13,44.08,23887,18021.98673,,8.62476E+14
0,0.18,1,50,2782,13.10398952,,8.62476E+14
0.78,327.56,6,46.5,22894,17836.55276,,2011 Volvo fh
0.56,704.02,19,24.53,62172,35065.67603,,2010 Volvo fh12
0.8,279.1,11,27.82,18573,14837.7417,,2006 Volvofh12 
0.5,405.74,12,44.92,40951,20411.29628,,2010 Volvo fh
0.74,442.22,11,34.91,32494,24191.77487,,2010 Volvo fh
0,0.46,1,14,2813,0,,2012 Volvo fh
0,0.33,1,17,2311,0,,2011 Volvo fh
0.64,282.95,6,24.5,23492,15114.17503,,2011 VOLVO FH
1.8,429.28,10,25.3,11863,21295.53767,,2011 VOLVO FH
0.6,635.76,22,16.27,53024,31880.58282,,2011 VOLVO FH
0.67,546.62,19,20.21,40408,26988.85778,,2011 VOLVO FH
0.66,557.89,15,27.73,46667,30653.25318,,2011/ Volvo FH
0.73,438.96,9,23.89,33194,24085.83819,,2011 Volvo fh
0.63,272.58,7,29.86,23051,14578.61573,,2011/ Volvo FH
