basic_km,basic_trips,basic_ignition_total_duration_in_sec,basic_ignition_moving_duration_in_sec,can_fuel_consumed,normalized_vehcile_model
176.81,4,15473.0,10499.30007513621,35.0,2013 Volvo FH
295.19,11,26137.0,17976.9264289697,91.29999999999929,2014 Volvo FH
261.97,12,38299.0,20021.50291633772,103.5900000000256,2012 Volvo FH
442.84,15,45303.0,29643.465730471256,118.5,2014 Volvo FH
266.21,7,26190.0,17655.092744593894,83.09999999997672,2014 Volvo FH
394.09,6,38034.0,23368.881110443464,135.79999999999927,2012 Volvo FH
264.38,4,32441.0,18293.298127247803,62.90000000002328,2014 Volvo FH
157.6,11,23769.0,11179.604984248544,77.09000000002561,2004 Volvo FH12
144.94,5,51834.0,8113.982590699782,78.59999999999127,2008 Volvo FH12
447.3,7,37434.0,27747.617562583768,124.0,2008 Volvo FH
130.98,14,36769.0,10813.539637938342,61.5,2014 Volvo FH
145.45,5,20713.0,10877.457232100149,59.61999999999534,2008 Volvo FH12
341.95,11,34851.0,20296.207310705988,132.0900000000256,2014 Volvo FH
174.69,6,21095.0,11630.260146341332,68.09999999997672,2013 Volvo FH
364.0,6,33379.0,24865.900528332204,92.90000000002328,2014 Volvo FH
352.91,13,33887.0,22671.745883255106,60.28000000002794,2014 Volvo FH
202.88,3,22387.0,12908.701001710526,91.40000000000146,2014 Volvo FH
297.17,7,25715.0,19171.23770763458,134.32000000000698,2004 Volvo FH12
122.3,2,14374.0,9685.106537629055,43.5,2008 Volvo FH
244.89,6,25150.0,16440.118517706647,94.71999999997206,2014 Volvo FH
89.44,7,24180.0,10282.067964821816,56.30000000000291,2012 Volvo FH
440.56,7,30813.0,26346.748964617636,117.29999999998836,2008 Volvo FH
245.01,5,26759.0,17739.88855408458,50.40000000000873,2014 Volvo FH
173.53,3,22898.0,13451.015774395826,71.91000000000349,2012 Volvo FH
245.86,7,39098.0,18707.48458255909,70.69999999999709,2014 Volvo FH
287.82,7,30964.0,19350.330755788094,108.31999999994878,2007 Volvo FH12
288.53,5,23978.0,18523.0623822904,59.19000000000233,2014 Volvo FH
216.18,7,29334.0,15301.786398026665,65.71999999997206,2014 Volvo FH
203.43,6,33070.0,13783.104934644476,89.90000000002328,2014 Volvo FH
67.45,4,14477.0,5716.795426563658,25.59999999997672,2014 Volvo FH
379.21,9,33619.0,18539.101713441512,138.71999999997206,2012 Volvo FH
103.98,16,32710.0,7465.672236417434,43.71999999997206,2014 Volvo FH
311.06,20,31800.0,25627.928382133192,18.59999999999991,Toyota avanza 2020
146.67,14,17248.0,14435.171264875413,10.900000000000093,Toyota rush 2022
172.11,22,18232.0,13836.606193995827,15.899999999999636,Renault symbol
342.81,23,36014.0,26169.87432642027,26.799999999999955,Toyota rush 2022
246.67,7,28187.0,12477.3130950726,70.0,2013 Volvo FH
387.58,5,14381.0,25140.89322061876,115.39999999999782,2014 Volvo FH
277.65,4,1606.0,16728.65952450393,58.40999999997439,2014 Volvo FH
213.05,7,19647.0,12363.576942994245,55.0,2014 Volvo FH
117.7,4,16293.0,7438.669676594622,53.0,2014 Volvo FH
345.98,9,25989.0,21562.55911358907,127.80999999999769,2004 Volvo FH12
246.54,21,42386.0,17325.44478809306,120.60000000000582,2008 Volvo FH12
489.27,7,32711.0,23335.44506004749,176.5,2014 Volvo FH
93.0,6,16018.0,6580.93851684676,55.80999999999767,2014 Volvo FH
246.26,12,35740.0,15184.910800175883,84.18000000005122,2013 Volvo FH
158.86,5,28452.0,9697.146088436975,82.78000000002794,2008 Volvo FH12
111.78,8,8479.0,6682.910653671476,17.40999999997439,2014 Volvo FH
158.05,4,29199.0,10377.88699338933,56.69999999999709,2014 Volvo FH
262.83,9,29131.0,17683.62402514379,104.40000000000146,2014 Volvo FH
174.07,4,17663.0,11991.75156087178,50.19000000000233,2008 Volvo FH
186.84,5,28088.0,13710.556297117171,63.88000000000466,2014 Volvo FH
117.53,4,15266.0,6986.228733597658,70.0,2014 Volvo FH
219.41,9,25971.0,13677.645302943043,54.89999999999418,2012 Volvo FH
60.92,7,11855.0,5648.159188036356,23.70000000001164,2008 Volvo FH
296.16,8,32667.0,18598.23774173066,127.79999999998836,2012 Volvo FH
415.57,11,37441.0,26875.52048063341,133.9099999999744,2010 Volvo FH
111.34,4,20636.0,8232.266259014577,86.11999999999534,2008 Volvo FH12
236.43,3,27646.0,17895.01357588103,50.71999999997206,2014 Volvo FH
260.6,11,30668.0,17836.773080360155,83.30999999999767,2014 Volvo FH
748.57,12,54478.0,38559.78531747102,211.5,2014 Volvo FH
500.77,6,19782.0,27724.40565084568,126.18000000005122,2014 Volvo FH
338.36,9,12242.0,16300.772567232523,105.61999999999534,2012 Volvo FH
410.98,6,31278.0,23375.00776044004,152.09999999997672,2014 Volvo FH
36.79,10,12964.0,2791.064433815119,31.680000000051223,2011 Volvo FH
248.64,19,23680.0,17507.095922834116,15.099999999999907,Toyota avanza 2020
275.55,20,23641.0,21939.23420501216,20.700000000000045,Toyota rush 2022
180.39,18,18049.0,15874.685097880454,16.69999999999891,Renault symbol
176.68,23,23879.0,15764.080950365786,15.5,Toyota rush 2022
304.14,25,35969.0,21106.42804709257,24.40000000000009,Toyota rush 2022
246.67,7,28187.0,12477.3130950726,70.5,2013 Volvo FH
387.66,6,31911.0,25140.89322061876,98.0,2014 Volvo FH
290.74,5,31177.0,16728.65952450393,63.31999999994878,2014 Volvo FH
213.05,7,19647.0,12363.576942994245,55.19000000000233,2014 Volvo FH
117.7,4,15578.0,7438.669676594622,43.80999999999767,2014 Volvo FH
345.98,9,29296.0,21562.55911358907,144.81999999994878,2004 Volvo FH12
246.63,23,42386.0,17325.44478809306,106.40000000000872,2008 Volvo FH12
489.27,7,32711.0,23335.44506004749,171.3000000000029,2014 Volvo FH
29.06,2,8573.0,2684.839957391192,11.880000000004657,2008 Volvo FH12
93.0,6,15334.0,6580.93851684676,46.80999999999767,2014 Volvo FH
246.59,14,37604.0,15184.910800175883,84.68000000005122,2013 Volvo FH
158.86,5,28452.0,9697.146088436975,64.40000000002328,2008 Volvo FH12
151.66,9,21115.0,9115.776503988964,33.59000000002561,2014 Volvo FH
158.05,4,29199.0,10377.88699338933,51.69999999999709,2014 Volvo FH
292.01,11,34342.0,21429.292457180472,122.19999999999708,2014 Volvo FH
239.17,5,22815.0,16977.977359125187,74.78000000002794,2008 Volvo FH
162.65,4,24790.0,11685.097452367969,54.88000000000466,2014 Volvo FH
117.53,4,15266.0,6986.228733597658,58.19000000000233,2014 Volvo FH
218.98,8,28343.0,13677.645302943043,65.29999999999563,2012 Volvo FH
60.92,7,11461.0,5563.782015139801,23.70000000001164,2008 Volvo FH
295.09,7,31988.0,18598.23774173066,127.29999999998836,2012 Volvo FH
453.94,14,43059.0,30308.117734555613,148.0900000000256,2010 Volvo FH
111.34,4,19352.0,8232.266259014577,60.5,2008 Volvo FH12
65.49,5,11033.0,5282.824345169095,10.71999999997206,2014 Volvo FH
263.51,4,29708.0,21377.4965041804,59.11999999999534,2014 Volvo FH
289.92,13,39311.0,20656.83568917493,99.81999999994878,2014 Volvo FH
759.0,14,61973.0,38559.78531747102,216.2000000000044,2014 Volvo FH
500.77,6,31549.0,27724.40565084568,133.5,2014 Volvo FH
338.5,11,31390.0,16300.772567232523,106.88000000000466,2012 Volvo FH
410.98,6,31278.0,23375.00776044004,124.19000000000231,2014 Volvo FH
45.54,7,23025.0,2791.064433815119,37.90000000002328,2011 Volvo FH
248.3,19,26100.0,17275.17161857764,14.800000000000182,Toyota avanza 2020
274.19,20,27907.0,21939.23420501216,20.59999999999991,Toyota rush 2022
180.39,18,18991.0,15874.685097880454,16.69999999999891,Renault symbol
160.37,22,23072.0,15101.9527902051,14.299999999999956,Toyota rush 2022
303.08,24,36671.0,19794.26785595584,24.5,Toyota rush 2022
485.1,7,42394.0,32430.126220401184,138.60000000000218,2014 Volvo FH
225.79,6,35581.0,15342.907823712956,107.0,2012 Volvo FH
327.16,7,35571.0,21413.025659610063,124.30999999999769,2014 Volvo FH
157.03,4,30235.0,11037.066170347063,64.90000000000146,2012 Volvo FH
244.29,9,27822.0,18431.52238809848,75.90999999997439,2014 Volvo FH
145.06,8,18063.0,9442.112824688118,71.5,2004 Volvo FH12
168.24,5,14917.0,10475.519911631009,89.90000000000873,2008 Volvo FH12
338.36,18,54005.0,22231.87152894792,145.3000000000029,2014 Volvo FH
241.18,9,24300.0,16149.767817890664,79.5,2008 Volvo FH12
165.49,6,18978.0,9910.812170605845,77.59999999997672,2014 Volvo FH
44.47,6,27286.0,3706.1374762664896,20.90999999997439,2013 Volvo FH
359.86,14,48765.0,24279.752623408524,125.28000000002794,2008 Volvo FH12
361.45,10,42685.0,25602.875074975484,91.28000000002794,2014 Volvo FH
596.12,13,47294.0,32756.413322240263,172.0,2014 Volvo FH
337.36,9,41241.0,20901.07282924161,105.60000000000582,2014 Volvo FH
145.4,4,17129.0,10773.32158823928,67.60000000000218,2014 Volvo FH
502.66,14,57521.0,35046.508963525994,231.29000000000812,2004 Volvo FH12
157.25,5,23591.0,10520.814959971409,59.21999999997206,2008 Volvo FH
201.84,5,15909.0,13689.04974429123,65.5,2014 Volvo FH
386.15,12,35154.0,21102.79728442884,110.70000000001164,2014 Volvo FH
244.76,4,21101.0,16551.6295750316,99.4099999999744,2014 Volvo FH
221.27,5,19188.0,12682.966902806806,70.0,2012 Volvo FH
402.79,9,28736.0,25407.169373418317,121.59999999997672,2008 Volvo FH
182.26,7,30948.0,12481.019466965136,54.30000000000291,2014 Volvo FH
328.15,14,32550.0,22107.49269420432,87.5,2012 Volvo FH
361.27,7,42900.0,26230.099540429168,107.60000000000582,2014 Volvo FH
230.66,6,19674.0,13237.571257947366,84.29999999998836,2012 Volvo FH
244.53,4,22124.0,17873.42909078645,96.11999999999534,2008 Volvo FH12
305.43,5,40707.0,21931.516051756225,133.88000000000466,2007 Volvo FH12
121.27,14,17579.0,7303.477793581401,25.59000000002561,2014 Volvo FH
147.03,6,26122.0,8657.288726342931,48.59999999997672,2014 Volvo FH
195.36,11,25700.0,14249.454338604492,87.09000000002561,2014 Volvo FH
30.11,11,31807.0,1867.9749762082545,12.299999999995634,2014 Volvo FH
250.94,8,29712.0,21305.81785567794,83.0,2014 Volvo FH
381.41,12,38111.0,19070.068616570978,141.5,2012 Volvo FH
297.78,5,17342.0,14626.445829858949,82.40999999997439,2014 Volvo FH
712.47,12,46289.0,39242.44726659731,291.5,2011 Volvo FH
292.81,24,31393.0,22307.60671041905,18.09999999999991,Toyota avanza 2020
266.5,20,25937.0,20830.85428354377,19.90000000000009,Toyota rush 2022
105.19,17,12089.0,7304.548869591023,10.700000000000728,Renault symbol
240.42,21,27066.0,19917.417317220355,19.200000000000045,Toyota rush 2022
239.21,25,29310.0,18305.23439245512,20.200000000000045,Toyota rush 2022
127.89,5,14270.0,7601.213919028863,39.19999999999709,2013 Volvo FH
152.6,3,20556.0,12446.340760393992,53.89999999999782,2014 Volvo FH
316.23,6,27263.0,19314.389764685853,101.69000000000231,2012 Volvo FH
207.31,8,19743.0,12820.375198245294,55.0,2014 Volvo FH
421.8,12,47614.0,30418.73111062946,160.78000000002794,2014 Volvo FH
298.8,10,25018.0,19400.25406711732,105.5,2012 Volvo FH
145.91,5,23936.0,9962.468220501612,47.0,2014 Volvo FH
414.31,11,38690.0,25970.659290147232,162.78000000002794,2004 Volvo FH12
213.74,7,30989.0,15744.2565455254,123.0,2008 Volvo FH12
540.77,6,44969.0,31090.691978284896,182.60000000000585,2014 Volvo FH
329.8,11,38986.0,22857.46080862097,119.68000000005122,2014 Volvo FH
131.93,4,22596.0,14252.32052250398,47.30999999999767,2013 Volvo FH
398.8,5,42195.0,25216.31828848383,140.09999999997672,2008 Volvo FH12
162.68,5,17748.0,12380.95450346503,47.81999999994878,2014 Volvo FH
666.26,7,41167.0,36836.23484657753,195.5900000000256,2014 Volvo FH
